Mood,DateRaw,type,noteMood,date
Happy,"November 29, 2023 at 09:59PM",mood,,11/30/2023 11:59:00
Happy,"November 29, 2023 at 10:49PM",mood,,11/30/2023 12:49:00
Nervous,"November 30, 2023 at 03:34AM",mood,,11/30/2023 17:34:00
Happy,"November 30, 2023 at 03:52AM",mood,,11/30/2023 17:52:00
Neutral,"November 30, 2023 at 04:32AM",mood,,11/30/2023 18:32:00
Happy,"November 30, 2023 at 04:50AM",mood,,11/30/2023 18:50:00
Nervous,"November 30, 2023 at 05:39AM",mood,,11/30/2023 19:39:00
Neutral,"November 30, 2023 at 06:25AM",mood,,11/30/2023 20:25:00
Nervous,"November 30, 2023 at 06:03PM",mood,,12/1/2023 8:03:00
Nervous,"November 30, 2023 at 06:06PM",mood,,12/1/2023 8:06:00
Nervous,"November 30, 2023 at 06:07PM",mood,,12/1/2023 8:07:00
Плохо спал. Болела рука,"November 30, 2023 at 06:07PM",note,nervous,12/1/2023 8:07:00
Happy,"November 30, 2023 at 06:36PM",mood,,12/1/2023 8:36:00
Neutral,"November 30, 2023 at 07:10PM",mood,,12/1/2023 9:10:00
Neutral,"November 30, 2023 at 09:15PM",mood,,12/1/2023 11:15:00
Nervous,"November 30, 2023 at 10:23PM",mood,,12/1/2023 12:23:00
Nervous,"November 30, 2023 at 11:29PM",mood,,12/1/2023 13:29:00
Nervous,"November 30, 2023 at 11:29PM",mood,,12/1/2023 13:29:00
Говорю человеку неприятные вещи в лицо. Заэимаюсь,"November 30, 2023 at 11:29PM",note,nervous,12/1/2023 13:29:00
Happy,"December 01, 2023 at 02:35AM",mood,,12/1/2023 16:35:00
Happy,"December 1, 2023 at 02:58AM",mood,,12/1/2023 16:58:00
Happy,"December 1, 2023 at 03:40AM",mood,,12/1/2023 17:40:00
Happy,"December 1, 2023 at 04:34AM",mood,,12/1/2023 18:34:00
Happy,"December 1, 2023 at 05:42AM",mood,,12/1/2023 19:42:00
Happy,"December 1, 2023 at 05:50AM",mood,,12/1/2023 19:50:00
